artists,year,count
Christina Perri,2011,2
Christina Perri,2013,2
Ciara,2004,1
Ciara,2005,2
Ciara,2006,1
Ciara,2007,2
Ciara,2013,1
City High,2001,1
City High,2002,1
Clean Bandit,2014,1
Clean Bandit,2015,2
Clean Bandit,2016,1
Clean Bandit,2017,1
Clean Bandit,2018,2
Cobra Starship,2009,1
Cobra Starship,2011,1
Colbie Caillat,2007,1
Colbie Caillat,2008,2
Colbie Caillat,2009,1
Colby O'Donis,2008,1
Cold War Kids,2014,1
Coldplay,2002,3
Coldplay,2003,1
Coldplay,2005,2
Coldplay,2008,2
Coldplay,2011,2
Coldplay,2012,2
Coldplay,2014,2
Coldplay,2016,2
Corinne Bailey Rae,2006,1
Counting Crows,2003,1
Craig David,2001,1
Craig David,2003,1
Craig David,2005,1
Creed,2002,2
Céline Dion,2002,1
D12,2004,1
D4L,2005,1
D4L,2006,1
DB Boulevard,2001,1
DJ Casper,2004,1
DJ Fresh,2011,1
DJ Khaled,2011,1
DJ Khaled,2018,1
DJ Sammy,2002,1
DJ Snake,2014,1
DJ Snake,2016,1
DJ Snake,2018,1
DNCE,2016,1
DaBaby,2019,1
Daddy Yankee,2018,1
Daft Punk,2013,2
Dan + Shay,2019,1
Daniel Bedingfield,2001,1
Daniel Bedingfield,2002,2
Daniel Bedingfield,2003,1
Daniel Merriweather,2009,1
Daniel Powter,2005,1
Danity Kane,2008,1
Danny Saucedo,2012,1
Darius,2002,1
Daughtry,2007,2
Dave,2019,1
David Archuleta,2008,1
David Banner,2005,1
David Guetta,2009,1
David Guetta,2011,2
David Guetta,2012,5
David Guetta,2014,1
David Guetta,2015,1
David Guetta,2018,1
Daya,2016,2
Dean Lewis,2018,1
Death Cab for Cutie,2005,1
Default,2002,1
Delta Goodrem,2002,1
Delta Goodrem,2003,1
Dem Franchize Boyz,2006,1
Demi Lovato,2013,1
Demi Lovato,2015,2
Demi Lovato,2017,1
Den svenska björnstammen,2012,2
Dennis Lloyd,2018,1
Dermot Kennedy,2019,1
Desiigner,2016,1
Destiny's Child,2001,1
Destiny's Child,2004,1
Destiny's Child,2005,3
Diddy,2002,1
Diddy - Dirty Money,2011,1
Dido,2001,1
Dido,2003,1
Dido,2004,1
Dirty Vegas,2002,1
Disclosure,2013,1
Disclosure,2014,1
Disclosure,2015,1
Dizzee Rascal,2008,1
Dizzee Rascal,2009,1
Doja Cat,2019,1
Dominic Fike,2019,1
Donkeyboy,2012,1
Dr. Dre,2011,1
Drake,2009,1
Drake,2010,2
Drake,2011,1
Drake,2012,2
Drake,2013,1
Drake,2016,3
Drake,2017,1
Drake,2018,4
Dua Lipa,2016,1
Dua Lipa,2017,1
Dua Lipa,2018,2
Dua Lipa,2019,1
Duck Sauce,2010,1
Duffy,2008,2
Duke Dumont,2013,1
Duke Dumont,2014,1
Dynoro,2018,1
E-40,2006,1
Eamon,2004,1
Echosmith,2014,1
Ed Sheeran,2011,2
Ed Sheeran,2012,1
Ed Sheeran,2014,5
Ed Sheeran,2015,1
Ed Sheeran,2017,5
Ed Sheeran,2018,3
Ed Sheeran,2019,4
Electric Six,2003,1
Eliza Doolittle,2010,1
Ella Henderson,2014,1
Elle King,2015,1
Ellie Goulding,2010,2
Ellie Goulding,2012,1
Ellie Goulding,2013,1
Ellie Goulding,2014,1
Ellie Goulding,2015,2
Elliott Yamin,2007,1
Elvis Presley,2002,1
Eminem,2001,1
Eminem,2003,1
Eminem,2004,1
Eminem,2005,2
Eminem,2006,1
Eminem,2010,1
Eminem,2013,1
Eminem,2018,1
Emma Bunton,2001,1
Empire of the Sun,2009,1
Enrique Iglesias,2002,2
Enrique Iglesias,2004,1
Enrique Iglesias,2007,1
Enrique Iglesias,2010,1
Enrique Iglesias,2011,1
Enrique Iglesias,2014,1
Enrique Iglesias,2016,1
Enya,2001,1
Eric Church,2011,1
Eric Prydz,2007,1
Eric Prydz,2008,1
Erick Sermon,2001,1
Estelle,2008,1
Evan And Jaron,2001,1
Evanescence,2003,1
Evanescence,2004,1
Evanescence,2006,1
Eve,2001,1
Eve,2002,1
Eve 6,2001,1
Example,2010,1
Example,2011,1
Fabolous,2003,2
Fabolous,2007,1
Fabolous,2009,1
Faith Evans,2002,1
Faith Hill,2001,1
Faithless,2001,1
Fall Out Boy,2005,1
Fall Out Boy,2006,1
Fall Out Boy,2007,2
Fall Out Boy,2013,1
Fall Out Boy,2015,1
Far East Movement,2011,1
Far East Movement,2012,1
Fat Joe,2002,1
Fat Joe,2005,1
Fedde Le Grand,2006,1
Fedde Le Grand,2007,1
Fergie,2006,1
Fergie,2007,3
Fergie,2008,1
Fetty Wap,2015,1
Finger Eleven,2007,1
Finger Eleven,2008,1
Five For Fighting,2001,1
Five For Fighting,2004,1
Flo Rida,2008,1
Flo Rida,2009,1
Flo Rida,2010,1
Flo Rida,2011,1
Flo Rida,2012,4
Flo Rida,2013,1
Floetry,2003,1
Florence + The Machine,2009,2
Florence + The Machine,2011,1
Florence + The Machine,2012,1
Florida Georgia Line,2013,1
Florida Georgia Line,2016,1
Flume,2016,2
Foo Fighters,2005,1
Foo Fighters,2007,1
Fort Minor,2006,1
Foster The People,2011,1
Foster The People,2012,1
Fragma,2001,1
Frank Ocean,2016,1
Frankie J,2003,1
Franz Ferdinand,2004,1
Franz Ferdinand,2005,1
Freya Ridings,2019,1
G-Eazy,2017,1
G-Eazy,2018,1
G-Unit,2004,1
G.R.L.,2014,1
Gabriella Cilmi,2008,1
Gabrielle,2001,2
Gareth Gates,2002,2
Gary Jules,2004,1
Gavin DeGraw,2004,1
Gavin DeGraw,2005,1
Gavin DeGraw,2008,1
George Ezra,2014,1
George Michael,2004,1
Ginuwine,2001,1
Ginuwine,2003,1
Girls Aloud,2003,2
Girls Aloud,2004,1
Girls Aloud,2006,1
Glee Cast,2010,1
Gnarls Barkley,2006,1
Good Charlotte,2003,1
Gorgon City,2014,1
Gorillaz,2001,1
Gorillaz,2005,2
Gotye,2012,1
Green Day,2004,1
Green Day,2005,2
Green Day,2009,1
Grouplove,2011,1
Gwen Stefani,2004,1
Gwen Stefani,2005,3
Gwen Stefani,2006,1
Gwen Stefani,2007,1
Gym Class Heroes,2007,1
Gym Class Heroes,2011,1
Gym Class Heroes,2012,1
Hailee Steinfeld,2015,1
Hailee Steinfeld,2016,1
Hailee Steinfeld,2017,2
Hailee Steinfeld,2018,1
Halsey,2017,1
Halsey,2019,1
Harry Styles,2017,1
Hear'Say,2001,1
Hellogoodbye,2007,1
Hilltop Hoods,2016,1
Hinder,2006,1
Hinder,2007,1
Hoobastank,2004,1
Hot Chelle Rae,2011,1
Howie Day,2005,1
Hozier,2015,1
Huey,2007,1
INNA,2010,1
Icona Pop,2012,1
Icona Pop,2013,1
Idina Menzel,2014,1
Iggy Azalea,2014,1
Illy,2016,1
Imagine Dragons,2013,2
Imagine Dragons,2014,1
Imagine Dragons,2017,3
Imagine Dragons,2018,2
Incubus,2001,1
Ivi Adamou,2012,1
Iyaz,2010,1
J-Kwon,2004,1
J. Cole,2013,1
J. Cole,2019,1
J. Holiday,2007,1
J. Holiday,2008,1
JAY-Z,2001,1
JAY-Z,2003,2
JAY-Z,2004,1
JAY-Z,2009,2
JAY-Z,2010,2
JAY-Z,2012,1
JAY-Z,2013,1
JLS,2009,2
JP Cooper,2017,1
Ja Rule,2001,2
Ja Rule,2002,1
Ja Rule,2003,1
Jack Johnson,2005,2
Jack White,2008,1
Jagged Edge,2001,2
Jaheim,2003,1
Jamelia,2003,1
James Arthur,2016,1
James Arthur,2017,1
James Bay,2015,2
James Blunt,2005,1
James Blunt,2006,1
James Blunt,2007,1
James Blunt,2013,1
James Morrison,2006,2
James Morrison,2008,2
James Morrison,2009,1
James Morrison,2011,1
James TW,2016,1
Jamie Foxx,2009,1
Jamiroquai,2001,1
Janet Jackson,2001,2
Jarryd James,2015,1
Jason Aldean,2009,1
Jason Aldean,2011,1
Jason Derulo,2009,1
Jason Derulo,2010,3
Jason Derulo,2011,2
Jason Derulo,2013,1
Jason Derulo,2014,1
Jason Derulo,2015,1
Jason Mraz,2009,1
Jason Mraz,2012,1
Jay Sean,2004,1
Jay Sean,2010,2
Jeezy,2005,1
Jennifer Hudson,2008,1
Jennifer Lopez,2001,3
Jennifer Lopez,2002,1
Jennifer Lopez,2003,2
Jennifer Lopez,2011,1
Jennifer Lopez,2012,1
Jeremih,2015,1
Jess Glynne,2015,1
Jesse McCartney,2005,1
Jesse McCartney,2008,1
Jessica Simpson,2001,1
Jessica Simpson,2004,1
Jessie J,2011,2
Jessie J,2012,1
Jessie J,2014,1
Jessie J,2015,1
Jet,2004,1
Jim Jones,2007,1
Jimmy Eat World,2001,1
Jimmy Eat World,2002,1
JoJo,2004,1
JoJo,2006,1
Joe,2001,1
Joel Adams,2015,1
Joel Corry,2019,1
John Legend,2005,1
John Legend,2008,1
John Legend,2014,1
John Legend,2016,1
John Mayer,2001,1
John Mayer,2002,1
John Mayer,2003,1
John Mayer,2004,1
John Mayer,2006,1
John Mayer,2008,2
John Mayer,2010,2
John Newman,2013,1
Jon Bellion,2016,1
Jonas Blue,2015,1
Jonas Blue,2016,2
Jonas Blue,2018,1
Jonas Blue,2019,1
Jonas Brothers,2008,1
Jonas Brothers,2019,2
Jordin Sparks,2008,3
Jordin Sparks,2009,1
Juanes,2004,1
Juice WRLD,2018,1
Juice WRLD,2019,1
Julia Michaels,2017,1
Junior Senior,2003,1
Just Jack,2007,1
Justin Bieber,2009,1
Justin Bieber,2010,1
Justin Bieber,2012,2
Justin Bieber,2013,1
Justin Bieber,2015,2
Justin Bieber,2016,3
Justin Bieber,2017,1
Justin Timberlake,2002,1
Justin Timberlake,2003,2
Justin Timberlake,2006,1
Justin Timberlake,2007,4
Justin Timberlake,2013,2
Justin Timberlake,2014,1
Justin Timberlake,2016,1
Juvenile,2004,1
K'NAAN,2010,1
K-Ci & JoJo,2001,1
KT Tunstall,2005,1
KT Tunstall,2006,1
Kaiser Chiefs,2005,2
Kaiser Chiefs,2007,1
Kane Brown,2019,1
Kanye West,2004,3
Kanye West,2005,2
Kanye West,2006,1
Kanye West,2007,1
Kanye West,2008,4
Kanye West,2009,2
Kanye West,2011,1
Kanye West,2012,1
Kanye West,2013,1
Kasabian,2009,1
Kate Nash,2007,1
Katie Melua,2004,1
Katie Melua,2005,1
Katy Perry,2008,2
Katy Perry,2009,2
Katy Perry,2010,3
Katy Perry,2011,3
Katy Perry,2012,1
Katy Perry,2013,3
Katy Perry,2014,1
Katy Perry,2017,1
Katy Perry,2019,1
Keala Settle,2018,1
Keane,2004,1
Keane,2006,1
Kehlani,2019,1
Kelis,2004,2
Kelis,2006,1
Kelly Clarkson,2002,1
Kelly Clarkson,2003,2
Kelly Clarkson,2005,4
Kelly Clarkson,2006,1
Kelly Clarkson,2009,2
Kelly Clarkson,2012,1
Kelly Rowland,2003,1
Kelly Rowland,2010,1
Kelly Rowland,2011,1
Kendrick Lamar,2015,1
Kendrick Lamar,2017,3
Kendrick Lamar,2018,2
Keri Hilson,2009,2
Keri Hilson,2011,1
Kesha,2010,4
Kesha,2011,2
Kesha,2017,1
Keyshia Cole,2006,1
Keyshia Cole,2007,1
Khalid,2017,2
Khalid,2018,2
Khalid,2019,2
Kid Cudi,2009,1
Kid Rock,2003,1
Kid Rock,2008,1
Kiesza,2014,1
Kiiara,2016,1
Kings of Leon,2008,2
Kings of Leon,2009,2
Klangkarussell,2013,1
Klaxons,2007,1
Klingande,2014,1
Kodaline,2013,2
Kris Allen,2010,1
Kungs,2016,1
Kygo,2015,3
Kygo,2016,2
Kygo,2017,3
Kygo,2019,1
Kylie Minogue,2001,2
Kylie Minogue,2002,4
Kylie Minogue,2004,1
Kylie Minogue,2008,1
LL Cool J,2002,1
LL Cool J,2004,1
LL Cool J,2006,1
LMC,2004,1
LMFAO,2011,1
LMFAO,2012,2
La Roux,2009,2
Labrinth,2011,1
Labrinth,2014,1
Lady A,2010,1
Lady A,2011,1
Lady Gaga,2009,4
Lady Gaga,2010,3
Lady Gaga,2011,2
Lady Gaga,2019,1
Laleh,2012,1
Lana Del Rey,2012,1
Lana Del Rey,2013,1
Lana Del Rey,2017,1
Lana Del Rey,2019,1
Lauv,2018,1
Lauv,2019,1
Lemar,2004,1
Lenny Kravitz,2001,1
Leona Lewis,2006,1
Leona Lewis,2007,1
Leona Lewis,2008,3
Lewis Capaldi,2019,4
Lifehouse,2001,1
Lifehouse,2005,1
Lil Baby,2018,1
Lil Dicky,2018,1
Lil Jon & The East Side Boyz,2005,1
Lil Nas X,2019,2
Lil Peep,2017,1
Lil Uzi Vert,2017,1
Lil Uzi Vert,2018,1
Lil Wayne,2008,2
Lil Wayne,2010,1
Lil Wayne,2011,2
Lil Wayne,2012,1
Lil' Flip,2004,1
Lil' Kim,2003,2
Lilly Wood and The Prick,2014,1
Lily Allen,2006,1
Lily Allen,2009,2
Lily Allen,2013,1
Limp Bizkit,2003,1
Linkin Park,2003,1
Linkin Park,2004,2
Linkin Park,2007,1
Linkin Park,2008,1
Linkin Park,2009,1
Little Mix,2015,1
Little Mix,2016,1
Lizzo,2019,2
Lloyd,2004,1
Lloyd,2007,2
Lloyd Banks,2004,1
Logic,2017,1
Lonestar,2001,1
Lorde,2013,2
Lorde,2014,2
Lorde,2017,1
Loreen,2012,1
Lost Frequencies,2015,1
Loud Luxury,2018,1
Ludacris,2001,1
Ludacris,2002,1
Ludacris,2003,1
Ludacris,2004,1
Ludacris,2005,1
Ludacris,2006,1
Ludacris,2007,1
Ludacris,2010,2
Luis Fonsi,2017,1
Luis Fonsi,2018,1
Lukas Graham,2016,1
Luke Christopher,2015,1
Lumidee,2003,1
Lunay,2019,1
Lupe Fiasco,2008,1
Lupe Fiasco,2011,1
Lykke Li,2011,1
Lykke Li,2012,1
Låpsley,2015,1
M.I.A.,2008,1
M83,2011,1
M83,2012,1
MAGIC!,2014,1
MGMT,2008,1
MIKA,2007,3
MKTO,2014,1
MNEK,2016,1
Mac Miller,2011,1
Machine Gun Kelly,2017,1
Macklemore,2017,1
Macklemore & Ryan Lewis,2013,2
Madonna,2001,1
Madonna,2002,1
Madonna,2005,1
Madonna,2006,1
Madonna,2008,1
Maggie Lindemann,2017,1
Maggie Rogers,2019,1
Major Lazer,2015,1
Major Lazer,2016,1
Maluma,2018,1
Manic Street Preachers,2007,1
Mann,2011,1
Marc E. Bassy,2016,1
Mariah Carey,2001,1
Mariah Carey,2005,2
Mariah Carey,2008,1
Mariah Carey,2009,1
Mario,2002,1
Mario,2004,1
Mario,2005,1
Mario,2009,1
Mario Winans,2004,1
Mark Ronson,2007,2
Mark Ronson,2015,1
Mark Ronson,2019,1
Maroon 5,2004,2
Maroon 5,2007,1
Maroon 5,2010,1
Maroon 5,2011,1
Maroon 5,2012,3
Maroon 5,2013,1
Maroon 5,2014,2
Maroon 5,2015,1
Maroon 5,2017,2
Maroon 5,2018,2
Marshmello,2017,1
Marshmello,2018,3
Marshmello,2019,3
Martin Garrix,2017,1
Martin Jensen,2017,1
Mary J. Blige,2001,1
Mary J. Blige,2002,2
Mary J. Blige,2006,2
Mary J. Blige,2008,1
Matchbox Twenty,2001,1
Matchbox Twenty,2003,1
Matt Cardle,2010,1
Maxwell,2009,1
McFly,2004,1
McFly,2005,1
McFly,2006,1
Meck,2006,1
Megan Thee Stallion,2019,1
Meghan Trainor,2014,1
Meghan Trainor,2015,3
Meghan Trainor,2016,1
Metro Station,2008,1
Michael Bublé,2005,1
Michael Bublé,2007,1
Michael Bublé,2009,1
Michael Bublé,2013,1
Michael Franti & Spearhead,2008,1
Michel Teló,2012,1
Michelle Branch,2002,1
Migos,2017,1
Migos,2018,2
Miguel,2011,1
Miguel,2017,1
Mike Perry,2016,1
Mike Posner,2010,1
Miley Cyrus,2008,1
Miley Cyrus,2009,2
Miley Cyrus,2010,1
Miley Cyrus,2013,2
Miley Cyrus,2017,1
Miley Cyrus,2019,1
Milky Chance,2014,1
Missy Elliott,2001,1
Missy Elliott,2002,2
Missy Elliott,2003,2
Missy Elliott,2005,1
Moa Lignell,2012,1
Monica,2003,1
Mr. Probz,2014,1
Mumford & Sons,2012,2
Mumford & Sons,2013,1
Mumford & Sons,2015,1
Muse,2006,1
Muse,2009,1
Musiq Soulchild,2001,1
Musiq Soulchild,2002,1
My Chemical Romance,2006,1
My Chemical Romance,2007,1
MØ,2016,1
Mýa,2003,1
N.E.R.D,2004,1
N.O.R.E.,2002,1
NEIKED,2016,1
NF,2018,1
NLE Choppa,2019,1
NSG,2019,1
Nas,2003,1
Natalie Imbruglia,2005,1
Natalie La Rose,2014,1
Natasha Bedingfield,2004,1
Natasha Bedingfield,2006,1
Natasha Bedingfield,2008,1
Natti Natasha,2018,1
Naughty Boy,2013,1
Nause,2012,1
Ne-Yo,2006,2
Ne-Yo,2007,1
Ne-Yo,2008,1
Ne-Yo,2009,2
Ne-Yo,2010,1
Nelly,2002,1
Nelly,2003,1
Nelly,2004,1
Nelly,2005,1
Nelly,2006,1
Nelly,2010,1
Nelly,2013,1
Nelly Furtado,2001,2
Nelly Furtado,2006,1
Nelly Furtado,2007,1
Neon Trees,2010,1
Neon Trees,2012,1
Niall Horan,2016,1
Niall Horan,2017,1
Nick Jonas,2014,1
Nick Jonas,2016,1
Nick Lachey,2006,1
Nickelback,2002,1
Nickelback,2003,1
Nickelback,2005,1
Nickelback,2006,2
Nickelback,2009,2
Nickelback,2011,1
Nickelback,2012,1
Nicki Minaj,2011,1
Nicki Minaj,2012,1
Nicki Minaj,2014,1
Nicky Jam,2015,1
Nicky Jam,2018,1
Nico & Vinz,2014,1
Nico & Vinz,2015,1
Nicole Scherzinger,2011,1
Nio Garcia,2018,1
Nizlopi,2006,1
No Doubt,2001,1
No Doubt,2002,2
No Doubt,2003,1
No Doubt,2004,1
Noah And The Whale,2008,1
Noah And The Whale,2011,1
Norlie & KKV,2012,2
Normani,2019,1
O-Town,2001,1
OPM,2001,1
Oasis,2002,2
Oasis,2005,1
Of Monsters and Men,2012,1
Of Monsters and Men,2013,1
Offset,2018,1
Olivia Holt,2016,1
Olly Murs,2011,1
Olly Murs,2013,1
Olly Murs,2014,2
Omarion,2007,1
One Direction,2011,1
One Direction,2012,1
One Direction,2013,2
One Direction,2014,3
One Direction,2015,2
One Direction,2016,1
OneRepublic,2008,1
OneRepublic,2009,2
OneRepublic,2011,1
OneRepublic,2013,1
OneRepublic,2014,2
OneRepublic,2017,1
Orson,2006,1
OutKast,2001,1
OutKast,2002,1
OutKast,2003,1
OutKast,2004,3
Owl City,2009,1
Owl City,2010,1
Owl City,2012,1
Ozuna,2018,2
P!nk,2002,2
P!nk,2006,2
P!nk,2009,3
P!nk,2011,2
P!nk,2013,2
P!nk,2016,1
P!nk,2017,1
P!nk,2019,1
P.O.D.,2001,1
PARTYNEXTDOOR,2016,1
PNAU,2017,1
PSY,2012,1
Paloma Faith,2014,1
Panetoz,2012,1
Panic! At The Disco,2006,1
Panic! At The Disco,2019,1
Panjabi MC,2003,1
Paolo Nutini,2006,1
Paolo Nutini,2007,1
Papa Roach,2005,1
Paramore,2007,1
Paramore,2009,1
Paramore,2013,2
Paramore,2014,1
Passenger,2013,1
Paulo Londra,2019,1
Pedro Capó,2019,1
Peking Duk,2014,1
Pendulum,2008,1
Petey Pablo,2004,1
Petit Biscuit,2015,1
Pharrell Williams,2003,1
Pharrell Williams,2014,1
Phillip Phillips,2013,1
Phoenix,2009,1
Piso 21,2018,1
Pitbull,2012,1
Pixie Lott,2009,1
Plain White T's,2007,1
Plan B,2010,1
Playboi Carti,2017,1
Plies,2007,1
Plies,2008,2
Portugal. The Man,2017,1
Portugal. The Man,2018,1
Post Malone,2016,2
Post Malone,2017,2
Post Malone,2018,6
Post Malone,2019,4
Pretty Ricky,2005,2
Pretty Ricky,2007,1
Professor Green,2011,1
Puddle Of Mudd,2002,2
Queen,2019,1
R. Kelly,2002,1
R. Kelly,2003,1
R. Kelly,2004,1
Rachel Platten,2015,1
Rachel Stevens,2003,1
Rag'n'Bone Man,2017,2
Rascal Flatts,2006,2
Ray J,2005,1
Ray J,2008,1
Razorlight,2006,2
Red Hot Chili Peppers,2002,2
Red Hot Chili Peppers,2006,1
Red Hot Chili Peppers,2007,1
Red Hot Chili Peppers,2011,1
Regard,2019,1
Reik,2018,1
Rich Boy,2007,1
Rich The Kid,2018,1
Ricky Martin,2001,1
Rihanna,2006,1
Rihanna,2007,3
Rihanna,2008,2
Rihanna,2009,1
Rihanna,2010,4
Rihanna,2011,2
Rihanna,2012,2
Rihanna,2013,1
Rihanna,2015,1
Rihanna,2016,2
Rihanna,2017,1
Rita Ora,2014,1
Rita Ora,2017,2
Rixton,2014,1
Rizzle Kicks,2011,1
Rob Thomas,2005,1
Robbie Williams,2001,1
Robbie Williams,2002,1
Robbie Williams,2003,1
Robbie Williams,2005,1
Robin Thicke,2007,1
Robin Thicke,2013,1
Robyn,2007,1
Robyn,2010,1
Roger Sanchez,2001,1
Ronan Keating,2001,1
Ronan Keating,2002,1
Room 5,2003,1
Route 94,2014,1
Rudimental,2013,1
Rudimental,2015,1
Rudimental,2018,1
Rui Da Silva,2001,1
Russ,2017,1
Ruth B.,2016,1
Ryan Cabrera,2005,1
S Club 7,2001,2
SAYGRACE,2015,1
SAYGRACE,2016,1
SZA,2017,1
Sak Noel,2011,1
Sam Feldt,2019,1
Sam Smith,2014,3
Sam Smith,2015,3
